accession	accession_version	strain	published_clade
KY885657	KY885657.1	JX1463/2010	
KY885658	KY885658.1	JX1467/2010	
KY885659	KY885659.1	JX1472/2010	
KY885660	KY885660.1	JX366/2011	
KY885661	KY885661.1	JX1035/2011	
KY885662	KY885662.1	JX1041/2011	
KY885663	KY885663.1	JX1047/2011	
KY885664	KY885664.1	JX1089/2011	
KY885665	KY885665.1	JX1098/2011	
KY885666	KY885666.1	JX1286/2011	
KY885667	KY885667.1	JX1322/2011	
KY885668	KY885668.1	JX1500/2011	
KY885669	KY885669.1	JX2128/2011	
KY885670	KY885670.1	JX2398/2011	
KY885671	KY885671.1	JX47/2012	
KY885672	KY885672.1	JX673/2012	
KY885673	KY885673.1	JX1079/2012	
KY885674	KY885674.1	JX1620/2012	
KY885675	KY885675.1	JX1827/2012	
KY885676	KY885676.1	JX2308/2012	
KY885677	KY885677.1	JX2389/2012	
KY885678	KY885678.1	JX2503/2012	
KY885679	KY885679.1	JX2561/2012	
KY885680	KY885680.1	JX2625/2012	
KY885681	KY885681.1	JX2652/2012	
KY885682	KY885682.1	JX2911/2012	
KY885683	KY885683.1	JX3011/2012	
KY885684	KY885684.1	JX3222/2012	
KY885685	KY885685.1	JX3341/2012	
KY885686	KY885686.1	JX658/2013	
KY885687	KY885687.1	JX701/2013	
KY885688	KY885688.1	JX1005/2013	
KY885689	KY885689.1	JX1558/2013	
KY885690	KY885690.1	JX2166/2013	
KY885691	KY885691.1	JX2270/2013	
KY885692	KY885692.1	JX2465/2013	
KY885693	KY885693.1	JX548/2014	
KY885694	KY885694.1	JX1228/2014	
KY885695	KY885695.1	JX1842/2014	
KY885696	KY885696.1	JX1970/2014	
KY885697	KY885697.1	JX2143/2014	
KY885698	KY885698.1	JX2332/2014	
KY885699	KY885699.1	JX2439/2014	
KY885700	KY885700.1	JX2611/2014	
KY885701	KY885701.1	JX2707/2014	
KY885702	KY885702.1	JX3058/2014	
KY885703	KY885703.1	JX4087/2014	
KY885704	KY885704.1	JX127/2015	
KY885705	KY885705.1	JX379/2015	
KY885706	KY885706.1	JX665/2016	
KY885707	KY885707.1	JX740/2016	
KY885708	KY885708.1	JX472/2015	
KY885709	KY885709.1	JX527/2015	
KY885710	KY885710.1	JX548/2015	
KY885711	KY885711.1	JX637/2015	
KY885712	KY885712.1	JX935/2015	
KY885713	KY885713.1	JX1071/2015	
KY885714	KY885714.1	JX2087/2015	
KY885715	KY885715.1	JX2257/2015	
KY885716	KY885716.1	JX2302/2015	
KY885717	KY885717.1	JX2439/2015	
KY885718	KY885718.1	JX2657/2015	
KY885719	KY885719.1	JX2812/2015	
KY885720	KY885720.1	JX2843/2015	
KY909277	KY909277.1	CMHN069/11/THA	
KY909278	KY909278.1	CMHN091/11/THA	
KY913298	KY913298.1	NPEV/CA10/JX1-C-3/2015	
KY913299	KY913299.1	NPEV/CA10/JX1-C-5/2015	
KY913300	KY913300.1	NPEV/CA10/JX73-1/2014	
KY913301	KY913301.1	NPEV/CA10/JX73-2/2014	
KY913530	KY913530.1	CA10/JX/436/2010	
KY913531	KY913531.1	CA10/JX/498/2010	
KY913532	KY913532.1	CA10/JX/946/2010	
KY913533	KY913533.1	CA10/JX/1175/2010	
KY913534	KY913534.1	CA10/JX/1262/2010	
KY913535	KY913535.1	CA10/JX/1296/2010	
KY913536	KY913536.1	CA10/JX/1346/2010	
KY913537	KY913537.1	CA10/JX/1353/2010	
KY913538	KY913538.1	CA10/JX/1387/2010	
KY913539	KY913539.1	CA10/JX/1463/2010	
KY913540	KY913540.1	CA10/JX/1467/2010	
KY913541	KY913541.1	CA10/JX/1474/2010	
KY913542	KY913542.1	CA10/JX/366/2011	
KY913543	KY913543.1	CA10/JX/1035/2011	
KY913544	KY913544.1	CA10/JX/1041/2011	
KY913545	KY913545.1	CA10/JX/1047/2011	
KY913546	KY913546.1	CA10/JX/1089/2011	
KY913547	KY913547.1	CA10/JX/1098/2011	
KY913548	KY913548.1	CA10/JX/1251/2011	
KY913549	KY913549.1	CA10/JX/1262/2011	
KY913550	KY913550.1	CA10/JX/1286/2011	
KY913551	KY913551.1	CA10/JX/1294/2011	
KY913552	KY913552.1	CA10/JX/1322/2011	
KY913553	KY913553.1	CA10/JX/1363/2011	
KY913554	KY913554.1	CA10/JX/1500/2011	
KY913555	KY913555.1	CA10/JX/2128/2011	
KY913556	KY913556.1	CA10/JX/2398/2011	
KY913557	KY913557.1	CA10/JX/47/2012	
KY913558	KY913558.1	CA10/JX/673/2012	
KY913559	KY913559.1	CA10/JX/1079/2012	
KY913560	KY913560.1	CA10/JX/1827/2012	
KY913561	KY913561.1	CA10/JX/2308/2012	
KY913562	KY913562.1	CA10/JX/2389/2012	
KY913563	KY913563.1	CA10/JX/2503/2012	
KY913564	KY913564.1	CA10/JX/2561/2012	
KY913565	KY913565.1	CA10/JX/2625/2012	
KY913566	KY913566.1	CA10/JX/2652/2012	
KY913567	KY913567.1	CA10/JX/2911/2012	
KY913568	KY913568.1	CA10/JX/3011/2012	
KY913569	KY913569.1	CA10/JX/3222/2012	
KY913570	KY913570.1	CA10/JX/3341/2012	
KY913571	KY913571.1	CA10/JX/658/2013	
KY913572	KY913572.1	CA10/JX/701/2013	
KY913573	KY913573.1	CA10/JX/1005/2013	
KY913574	KY913574.1	CA10/JX/1558/2013	
KY913575	KY913575.1	CA10/JX/2166/2013	
KY913576	KY913576.1	CA10/JX/2270/2013	
KY913577	KY913577.1	CA10/JX/2465/2013	
KY913578	KY913578.1	CA10/JX/850/2014	
KY913579	KY913579.1	CA10/JX/1228/2014	
KY913580	KY913580.1	CA10/JX/1842/2014	
KY913581	KY913581.1	CA10/JX/1970/2014	
KY913582	KY913582.1	CA10/JX/2143/2014	
KY913583	KY913583.1	CA10/JX/2332/2014	
KY913584	KY913584.1	CA10/JX/2439/2014	
KY913585	KY913585.1	CA10/JX/2611/2014	
KY913586	KY913586.1	CA10/JX/2707/2014	
KY913587	KY913587.1	CA10/JX/3058/2014	
KY913588	KY913588.1	CA10/JX/4087/2014	
KY913589	KY913589.1	CA10/JX/127/2015	
KY913590	KY913590.1	CA10/JX/379/2015	
KY913591	KY913591.1	CA10/JX/472/2015	
KY913592	KY913592.1	CA10/JX/527/2015	
KY913593	KY913593.1	CA10/JX/548/2015	
KY913594	KY913594.1	CA10/JX/637/2015	
KY913595	KY913595.1	CA10/JX/935/2015	
KY913596	KY913596.1	CA10/JX/1071/2015	
KY913597	KY913597.1	CA10/JX/2087/2015	
KY913598	KY913598.1	CA10/JX/2257/2015	
KY913599	KY913599.1	CA10/JX/2302/2015	
KY913600	KY913600.1	CA10/JX/2439/2015	
KY913601	KY913601.1	CA10/JX/2657/2015	
KY913602	KY913602.1	CA10/JX/2812/2015	
KY913603	KY913603.1	CA10/JX/2843/2015	
LC012548	LC012548.1	LC012548	
LC012551	LC012551.1	LC012551	
LC012553	LC012553.1	LC012553	
LC012554	LC012554.1	LC012554	
LC012555	LC012555.1	LC012555	
LC013412	LC013412.1	LC013412	
LC013413	LC013413.1	LC013413	
LC013415	LC013415.1	LC013415	
LC013418	LC013418.1	LC013418	
LC013430	LC013430.1	LC013430	
LC013450	LC013450.1	LC013450	
LC013452	LC013452.1	LC013452	
LC013457	LC013457.1	LC013457	
LC013463	LC013463.1	LC013463	
LC013465	LC013465.1	LC013465	
LC013466	LC013466.1	LC013466	
LC013467	LC013467.1	LC013467	
LC013468	LC013468.1	LC013468	
LC013474	LC013474.1	LC013474	
LC038033	LC038033.1	LC038033	
LC120872	LC120872.1	LC120872	
LC120873	LC120873.1	LC120873	
LC120874	LC120874.1	LC120874	
LC124091	LC124091.1	LC124091	
LC124092	LC124092.1	LC124092	
LC124093	LC124093.1	LC124093	
LC124094	LC124094.1	LC124094	
LC124095	LC124095.1	LC124095	
LC124096	LC124096.1	LC124096	
LC124097	LC124097.1	LC124097	
LC124098	LC124098.1	LC124098	
LC124099	LC124099.1	LC124099	
LC124100	LC124100.1	LC124100	
LC124101	LC124101.1	LC124101	
LC124102	LC124102.1	LC124102	
LC124103	LC124103.1	LC124103	
LC124104	LC124104.1	LC124104	
LC124105	LC124105.1	LC124105	
LC124106	LC124106.1	LC124106	
LC124107	LC124107.1	LC124107	
LC124108	LC124108.1	LC124108	
LC124109	LC124109.1	LC124109	
LC124110	LC124110.1	LC124110	
LC124111	LC124111.1	LC124111	
LC124112	LC124112.1	LC124112	
LC124113	LC124113.1	LC124113	
LC124114	LC124114.1	LC124114	
LC124115	LC124115.1	LC124115	
LC124116	LC124116.1	LC124116	
LC124117	LC124117.1	LC124117	
LC124118	LC124118.1	LC124118	
LC167415	LC167415.1	LC167415	
LC167416	LC167416.1	LC167416	
LC167417	LC167417.1	LC167417	
LC361284	LC361284.1	LC361284	
LC361285	LC361285.1	LC361285	
LC361313	LC361313.1	LC361313	
LC361314	LC361314.1	LC361314	
LC411987	LC411987.1	LC411987	
LC411988	LC411988.1	LC411988	
LC411989	LC411989.1	LC411989	
LC411990	LC411990.1	LC411990	
LC411991	LC411991.1	LC411991	
LC411992	LC411992.1	LC411992	
LC411993	LC411993.1	LC411993	
LC411994	LC411994.1	LC411994	
LC411995	LC411995.1	LC411995	
LC411996	LC411996.1	LC411996	
LC411997	LC411997.1	LC411997	
LC411998	LC411998.1	LC411998	
LC411999	LC411999.1	LC411999	
LC412000	LC412000.1	LC412000	
LC412001	LC412001.1	LC412001	
LC412002	LC412002.1	LC412002	
LC412003	LC412003.1	LC412003	
LC412004	LC412004.1	LC412004	
LC412005	LC412005.1	LC412005	
LC412006	LC412006.1	LC412006	
LC412007	LC412007.1	LC412007	
LC412008	LC412008.1	LC412008	
LC412009	LC412009.1	LC412009	
LC412010	LC412010.1	LC412010	
LC412011	LC412011.1	LC412011	
LC412012	LC412012.1	LC412012	
LC412978	LC412978.1	LC412978	
LC412979	LC412979.1	LC412979	
LC412983	LC412983.1	LC412983	
LC412984	LC412984.1	LC412984	
LC412985	LC412985.1	LC412985	
LC412986	LC412986.1	LC412986	
LC412987	LC412987.1	LC412987	
LC430225	LC430225.1	LC430225	
LC430226	LC430226.1	LC430226	
LC430227	LC430227.1	LC430227	
LC430228	LC430228.1	LC430228	
LC430230	LC430230.1	LC430230	
LC430231	LC430231.1	LC430231	
LC430232	LC430232.1	LC430232	
LC430233	LC430233.1	LC430233	
LC430234	LC430234.1	LC430234	
LC430235	LC430235.1	LC430235	
LC430236	LC430236.1	LC430236	
LC438289	LC438289.1	LC438289	
LC438290	LC438290.1	LC438290	
LC438291	LC438291.1	LC438291	
LC438292	LC438292.1	LC438292	
LC438293	LC438293.1	LC438293	
LC438294	LC438294.1	LC438294	
LC438295	LC438295.1	LC438295	
LC438296	LC438296.1	LC438296	
LC438297	LC438297.1	LC438297	
LC438298	LC438298.1	LC438298	
LC438299	LC438299.1	LC438299	
LC438300	LC438300.1	LC438300	
LC438301	LC438301.1	LC438301	
LC438302	LC438302.1	LC438302	
LC438303	LC438303.1	LC438303	
LC438304	LC438304.1	LC438304	
LC438305	LC438305.1	LC438305	
LC438306	LC438306.1	LC438306	
LC438307	LC438307.1	LC438307	
LC438308	LC438308.1	LC438308	
LC438309	LC438309.1	LC438309	
LC438310	LC438310.1	LC438310	
LC438311	LC438311.1	LC438311	
LC438312	LC438312.1	LC438312	
LC438313	LC438313.1	LC438313	
LC438314	LC438314.1	LC438314	
LC438315	LC438315.1	LC438315	
LC438316	LC438316.1	LC438316	
LC481434	LC481434.1	LC481434	
LC481435	LC481435.1	LC481435	
LC481436	LC481436.1	LC481436	
LC481437	LC481437.1	LC481437	
LC481438	LC481438.1	LC481438	
LC481439	LC481439.1	LC481439	
LC483981	LC483981.1	LC483981	
LC483982	LC483982.1	LC483982	
LC483983	LC483983.1	LC483983	
LC483984	LC483984.1	LC483984	
LC483985	LC483985.1	LC483985	
LC516769	LC516769.1	LC516769	
LC516770	LC516770.1	LC516770	
LC516771	LC516771.1	LC516771	
LC516772	LC516772.1	LC516772	
LC516773	LC516773.1	LC516773	
LC516774	LC516774.1	LC516774	
LC516775	LC516775.1	LC516775	
LC516776	LC516776.1	LC516776	
LC516777	LC516777.1	LC516777	
LC516778	LC516778.1	LC516778	
LC516779	LC516779.1	LC516779	
LC516780	LC516780.1	LC516780	
LC516781	LC516781.1	LC516781	
LC516782	LC516782.1	LC516782	
LC516783	LC516783.1	LC516783	
LC516784	LC516784.1	LC516784	
LC516785	LC516785.1	LC516785	
LC556010	LC556010.1	LC556010	
LC603066	LC603066.1	7-QJ-YN-CHN-2019-CV-A10	
LC603067	LC603067.1	8-QJ-YN-CHN-2019-CV-A10	
LC603068	LC603068.1	12-QJ-YN-CHN-2019-CV-A10	
LC603069	LC603069.1	14-QJ-YN-CHN-2019-CV-A10	
LC603070	LC603070.1	15-QJ-YN-CHN-2019-CV-A10	
LC603071	LC603071.1	17-QJ-YN-CHN-2019-CV-A10	
LC603072	LC603072.1	28-QJ-YN-CHN-2019-CV-A10	
LC603074	LC603074.1	57-QJ-YN-CHN-2019-CV-A10	
LC603098	LC603098.1	328-QJ-YN-CHN-2019-CV-A10	
LC603109	LC603109.1	396-QJ-YN-CHN-2019-CV-A10	
LC603110	LC603110.1	397-QJ-YN-CHN-2019-CV-A10	
LC603112	LC603112.1	404-QJ-YN-CHN-2019-CV-A10	
LC603113	LC603113.1	405-QJ-YN-CHN-2019-CV-A10	
LC603117	LC603117.1	440-QJ-YN-CHN-2019-CV-A10	
LC603118	LC603118.1	444-QJ-YN-CHN-2019-CV-A10	
LC603119	LC603119.1	450-QJ-YN-CHN-2019-CV-A10	
LC603120	LC603120.1	453-QJ-YN-CHN-2019-CV-A10	
LC603122	LC603122.1	459-QJ-YN-CHN-2019-CV-A10	
LC603123	LC603123.1	463-QJ-YN-CHN-2019-CV-A10	
LC603126	LC603126.1	466-QJ-YN-CHN-2019-CV-A10	
LC603127	LC603127.1	467-QJ-YN-CHN-2019-CV-A10	
LC626197	LC626197.1	28/QJ/YN/CHN/2020/CV-A10	
LC626240	LC626240.1	396/QJ/YN/CHN/2020/CV-A10	
LC626241	LC626241.1	404/QJ/YN/CHN/2020/CV-A10	
LC626242	LC626242.1	440/QJ/YN/CHN/2020/CV-A10	
LC626243	LC626243.1	459/QJ/YN/CHN/2020/CV-A10	
LC626245	LC626245.1	28/QJ/YN/CHN/2020	
LC626288	LC626288.1	396/QJ/YN/CHN/2020	
LC626289	LC626289.1	404/QJ/YN/CHN/2020	
LC626290	LC626290.1	440/QJ/YN/CHN/2020	
LC626291	LC626291.1	459/QJ/YN/CHN/2020	
LC656492	LC656492.1	47-WS-YN-CHN-2020	
LC685233	LC685233.1	110-WS-YN-CHN-2021-CV-A10	
LC685234	LC685234.1	153-WS-YN-CHN-2021-CV-A10	
LC707385	LC707385.1	9-QJ-YN-CHN-2021-CVA10	
LC707414	LC707414.1	88-QJ-YN-CHN-2021-CVA10	
LC707424	LC707424.1	119-QJ-YN-CHN-2021-CVA10	
LC707773	LC707773.1	9-QJ-YN-HN-2021	
LC707802	LC707802.1	88-QJ-YN-HN-2021	
LC707812	LC707812.1	119-QJ-YN-HN-2021	
LC791263	LC791263.1	A17-YN-CHN-2022	
LC791265	LC791265.1	A43-YN-CHN-2022	
LC791266	LC791266.1	A63-YN-CHN-2022	
LC791267	LC791267.1	A66-YN-CHN-2022	
LC791269	LC791269.1	A71-YN-CHN-2022	
LC791270	LC791270.1	A77-YN-CHN-2022	
LC791272	LC791272.1	A98-YN-CHN-2022	
LC791273	LC791273.1	A100-YN-CHN-2022	
LC791275	LC791275.1	A101-YN-CHN-2022	
LC791297	LC791297.1	A296-YN-CHN-2022	
LC791298	LC791298.1	A298-YN-CHN-2022	
LC791299	LC791299.1	A299-YN-CHN-2022	
LC791305	LC791305.1	A339-YN-CHN-2022	
LC791307	LC791307.1	A342-YN-CHN-2022	
LC791311	LC791311.1	A369-YN-CHN-2022	
LC791323	LC791323.1	B67-YN-CHN-2022	
LC791324	LC791324.1	C61-YN-CHN-2022	
LC791325	LC791325.1	C76-YN-CHN-2022	
LC791326	LC791326.1	D3-YN-CHN-2022	
LC791327	LC791327.1	D23-YN-CHN-2022	
LC791341	LC791341.1	R71-YN-CHN-2022	
LC791345	LC791345.1	R140-YN-CHN-2022	
LC791352	LC791352.1	S136-YN-CHN-2022	
LC791353	LC791353.1	S137-YN-CHN-2022	
LC791354	LC791354.1	S140-YN-CHN-2022	
LC791355	LC791355.1	S141-YN-CHN-2022	
LC791356	LC791356.1	S142-YN-CHN-2022	
LC865876	LC865876.1	A095-YN-CHN-2023-CVA10	
LC865877	LC865877.1	C156-YN-CHN-2023-CVA10	
LC865878	LC865878.1	C178-YN-CHN-2023-CVA10	
LC865879	LC865879.1	C179-YN-CHN-2023-CVA10	
LC865880	LC865880.1	C209-YN-CHN-2023-CVA10	
LC865881	LC865881.1	C235-YN-CHN-2023-CVA10	
LC865882	LC865882.1	C236-YN-CHN-2023-CVA10	
LC865883	LC865883.1	E088-YN-CHN-2023-CVA10	
LC865884	LC865884.1	G038-YN-CHN-2023-CVA10	
LC865885	LC865885.1	G039-YN-CHN-2023-CVA10	
LC865886	LC865886.1	G041-YN-CHN-2023-CVA10	
LC865887	LC865887.1	G073-YN-CHN-2023-CVA10	
LC865888	LC865888.1	G077-YN-CHN-2023-CVA10	
LC865889	LC865889.1	G078-YN-CHN-2023-CVA10	
LC865890	LC865890.1	G081-YN-CHN-2023-CVA10	
LC865891	LC865891.1	L065-YN-CHN-2023-CVA10	
LC865892	LC865892.1	L066-YN-CHN-2023-CVA10	
LC865893	LC865893.1	M091-YN-CHN-2023-CVA10	
LC865894	LC865894.1	M111-YN-CHN-2023-CVA10	
LC865895	LC865895.1	M114-YN-CHN-2023-CVA10	
LC865896	LC865896.1	N021-YN-CHN-2023-CVA10	
LC865897	LC865897.1	N039-YN-CHN-2023-CVA10	
LT719056	LT719056.1	LT719056	
LT719057	LT719057.1	LT719057	
LT719058	LT719058.1	LT719058	
LT719059	LT719059.1	LT719059	
LT719060	LT719060.1	LT719060	
MF137165	MF137165.1	P145/ZS/CHN/2012	
MF137166	MF137166.1	P38/ZS/CHN/2011	
MF137167	MF137167.1	P116/ZS/CHN/2010	
MF137168	MF137168.1	P102/ZS/CHN/2010	
MF137169	MF137169.1	P107/ZS/CHN/2010	
MF150574	MF150574.1	MF150574	
MF150575	MF150575.1	MF150575	
MF150576	MF150576.1	MF150576	
MF150577	MF150577.1	MF150577	
MF150578	MF150578.1	MF150578	
MF150579	MF150579.1	MF150579	
MF150580	MF150580.1	MF150580	
MF150581	MF150581.1	MF150581	
MF150582	MF150582.1	MF150582	
MF150583	MF150583.1	MF150583	
MF150584	MF150584.1	MF150584	
MF150585	MF150585.1	MF150585	
MF150586	MF150586.1	MF150586	
MF150587	MF150587.1	MF150587	
MF150588	MF150588.1	MF150588	
MF150589	MF150589.1	MF150589	
MF150590	MF150590.1	MF150590	
MF150591	MF150591.1	MF150591	
MF150592	MF150592.1	MF150592	
MF150593	MF150593.1	MF150593	
MF159819	MF159819.1	MF159819	
MF159857	MF159857.1	MF159857	
MF160138	MF160138.1	MF160138	
MF589246	MF589246.1	2413-Japan	
MF589262	MF589262.1	2784-Japan	
MF589274	MF589274.1	3280-Japan	
MF589277	MF589277.1	3523-Japan	
MF596027	MF596027.1	CVA10/s645VP1/BJ/CHN/2010	
MF596028	MF596028.1	CVA10/s653VP1/BJ/CHN/2010	
MF596029	MF596029.1	CVA10/s724VP1/BJ/CHN/2010	
MF596030	MF596030.1	CVA10/s729VP1/BJ/CHN/2010	
MF596031	MF596031.1	CVA10/s731VP1/BJ/CHN/2010	
MF596032	MF596032.1	CVA10/s782VP1/BJ/CHN/2010	
MF596033	MF596033.1	CVA10/s796VP1/BJ/CHN/2010	
MF596034	MF596034.1	CVA10/s805VP1/BJ/CHN/2010	
MF596035	MF596035.1	CVA10/s835VP1/BJ/CHN/2010	
MF596036	MF596036.1	CVA10/s839VP1/BJ/CHN/2010	
MF596037	MF596037.1	CVA10/s841VP1/BJ/CHN/2010	
MF596038	MF596038.1	CVA10/s906VP1/BJ/CHN/2011	
MF596039	MF596039.1	CVA10/s920VP1/BJ/CHN/2011	
MF596040	MF596040.1	CVA10/s1098VP1/BJ/CHN/2012	
MF596041	MF596041.1	CVA10/s1141VP1/BJ/CHN/2012	
MF596042	MF596042.1	CVA10/s1172VP1/BJ/CHN/2012	
MF596043	MF596043.1	CVA10/s1928VP1/BJ/CHN/2013	
MF596044	MF596044.1	CVA10/s2099VP1/BJ/CHN/2014	
MF596045	MF596045.1	CVA10/s2233VP1/BJ/CHN/2014	
MF596046	MF596046.1	CVA10/s2302VP1/BJ/CHN/2014	
MF596047	MF596047.1	CVA10/s2354VP1/BJ/CHN/2014	
MF596048	MF596048.1	CVA10/s2465VP1/BJ/CHN/2014	
MF596049	MF596049.1	CVA10/s2500VP1/BJ/CHN/2014	
MF596050	MF596050.1	CVA10/s2561VP1/BJ/CHN/2014	
MF596051	MF596051.1	CVA10/s2850VP1/BJ/CHN/2014	
MF596052	MF596052.1	CVA10/s2960VP1/BJ/CHN/2015	
MF596053	MF596053.1	CVA10/s3627VP1/BJ/CHN/2016	
MF596054	MF596054.1	CVA10/s3648VP1/BJ/CHN/2016	
MF596055	MF596055.1	CVA10/s3659VP1/BJ/CHN/2016	
MF596056	MF596056.1	CVA10/s3736VP1/BJ/CHN/2016	
MF596057	MF596057.1	CVA10/s3765VP1/BJ/CHN/2016	
MF596058	MF596058.1	CVA10/s3823VP1/BJ/CHN/2016	
MF596059	MF596059.1	CVA10/s3880VP1/BJ/CHN/2016	
MF596060	MF596060.1	CVA10/s3898VP1/BJ/CHN/2016	
MF596061	MF596061.1	CVA10/s3914VP1/BJ/CHN/2016	
MF596062	MF596062.1	CVA10/s3935VP1/BJ/CHN/2016	
MF596063	MF596063.1	CVA10/s3940VP1/BJ/CHN/2016	
MF596064	MF596064.1	CVA10/s4074VP1/BJ/CHN/2016	
MG674856	MG674856.1	C457	
MG838781	MG838781.1	AH16-26-CA10	
MG838782	MG838782.1	AH16-36-CA10	
MG838783	MG838783.1	BJ14-50-CA10	
MG838784	MG838784.1	BJ14-110-CA10	
MG838785	MG838785.1	CQ15-27-CVA10	
MG838786	MG838786.1	CQ16-33	
MG838787	MG838787.1	GD13-32-CVA10	
MG838788	MG838788.1	GD13-35-CVA10	
MG838789	MG838789.1	GD14-1-CA10	
MG838790	MG838790.1	GD14-32	
MG838791	MG838791.1	GD15-57-CA10	
MG838792	MG838792.1	GD15-65-CA10	
MG838793	MG838793.1	GD15-69-CA10	
MG838794	MG838794.1	GD15-71-CA10	
MG838795	MG838795.1	GD16-20	
MG838796	MG838796.1	GS12-64	
MG838797	MG838797.1	GS14-36	
MG838798	MG838798.1	GS14-69	
MG838799	MG838799.1	GS15-43	
MG838800	MG838800.1	GS15-51	
MG838803	MG838803.1	HeB15-63	
MG838804	MG838804.1	HeB2012-117	
MG838805	MG838805.1	HeB2013-7	
MG838806	MG838806.1	HeB2013-8	
MG838807	MG838807.1	HeB2013-61	
MG838808	MG838808.1	HeN16-8-CA10	
MG838809	MG838809.1	HeN16-17-CA10	
MG838810	MG838810.1	HEN16-26-CA10	
MG838811	MG838811.1	HEN16-59-CA10	
MG838812	MG838812.1	HuN11-9	
MG838814	MG838814.1	HuN14-57	
MG838815	MG838815.1	HuN15-2-CA10	
MG838816	MG838816.1	HuN16-33-CA10	
MG838817	MG838817.1	JS14-38-CV-A10	
MG838818	MG838818.1	JS15-104	
MG838819	MG838819.1	JX13-47_CV-A10_JX_CHN_2013	
MG838820	MG838820.1	JX13-66_CV-A10_JX_CHN_2013	
MG838821	MG838821.1	JX13-99_CV-A10_JX_CHN_2013	
MG838822	MG838822.1	JX13-101_CV-A10_JX_CHN_2013	
MG838823	MG838823.1	JX14-19-CA10	
MG838824	MG838824.1	JX14-28-CA10	
MG838825	MG838825.1	JX14-38-CA10	
MG838826	MG838826.1	JX14-128-CA10	
MG838828	MG838828.1	JX15-94	
MG838829	MG838829.1	JX15-97	
MG838830	MG838830.1	JX16-97-CA10	
MG838831	MG838831.1	LN14-108	
MG838832	MG838832.1	LN14-147	
MG838833	MG838833.1	LN14-229	
MG838834	MG838834.1	LN14-234	
MG838835	MG838835.1	LN15-104-CA10	
MG838836	MG838836.1	LN16-13-CA10	
MG838837	MG838837.1	LN16-34-CA10	
MG838838	MG838838.1	NX14-61	
MG838839	MG838839.1	NX16-86	
MG838840	MG838840.1	QH14-1-CA10	
MG838841	MG838841.1	QH14-25-CA10	
MG838842	MG838842.1	QH14-94-CA10	
MG838843	MG838843.1	QH14-95-CA10	
MG838844	MG838844.1	QH16-24-CA10	
MG838845	MG838845.1	SaX13-11	
MG838846	MG838846.1	Sax13-68-RD-CVA10	
MG838847	MG838847.1	SaX14-7-CV-A10	
MG838848	MG838848.1	SaX14-9-CV-A10	
MG838849	MG838849.1	SaX14-13-CV-A10	
MG838850	MG838850.1	SaX14-19-CV-A10	
MG838851	MG838851.1	SaX14-21	
MG838852	MG838852.1	SaX14-29-CV-A10	
MG838853	MG838853.1	SaX14-84-CV-A10	
MG838854	MG838854.1	SaX16-50	
MG838855	MG838855.1	SaX16-98	
MG838856	MG838856.1	SC14-49-CA10	
MG838857	MG838857.1	SC14-66-CA10	
MG838858	MG838858.1	SC14-77-CA10	
MG838859	MG838859.1	SC15-43-CA10	
MG838860	MG838860.1	SC15-91-CA10	
MG838861	MG838861.1	SC16-106-CA10	
MG838862	MG838862.1	SD-2013-246	
MG838863	MG838863.1	SD-2014-15	
MG838864	MG838864.1	SD-2014-57	
MG838865	MG838865.1	SD-2014-65	
MG838866	MG838866.1	SD-2014-102	
MG838867	MG838867.1	SD-2015-64	
MG838868	MG838868.1	SD2015-68-CA10	
MG838869	MG838869.1	SD-2015-175	
MG838870	MG838870.1	SX-2010-47	
MG838871	MG838871.1	SX-2010-48	
MG838872	MG838872.1	TJ13-35-RD-CVA10	
MG838873	MG838873.1	TJ15-70-YZ	
MG838874	MG838874.1	TJ-15-99	
MG838875	MG838875.1	TJ16-17-CVA10	
MG838876	MG838876.1	TJ16-36-CVA10	
MG838877	MG838877.1	TJ16-62-CVA10	
MG838878	MG838878.1	XJ13-35	
MG838879	MG838879.1	XJ14-64	
MG838881	MG838881.1	YN14-94	
MG838882	MG838882.1	YN15-15CV10	
MG838883	MG838883.1	YN15-138-CV10	
MG838884	MG838884.1	YN15-184-CV10	
MG844134	MG844134.1	CVA10_THA/CU2607/2017	
MG844135	MG844135.1	CVA10_THA/CU2682/2017	
MG844136	MG844136.1	CVA10_THA/CU2709/2017	
MG885767	MG885767.1	CVA10/Kozhikode/MCVRAH7466/2017	
MG993093	MG993093.1	2016/LTU/16135-18037-1180	
MG993094	MG993094.1	2016/LTU/16136-18542-1181	
MG993095	MG993095.1	2016/LTU/16137-18718-1182	
MG993096	MG993096.1	2016/LTU/16137-18719-1183	
MG993097	MG993097.1	2016/LTU/16143-21230-1481	
MG993098	MG993098.1	2016/LTU/16181-22965-1483	
MH021921	MH021921.1	PVE-343-2004	
MH111058	MH111058.1	C116/CHW/AUS/2017	
MH111059	MH111059.1	C125/CHW/AUS/2017	
MH111060	MH111060.1	C136/CHW/AUS/2016	
MH111061	MH111061.1	C140/CHW/AUS/2016	
MH111062	MH111062.1	C142/CHW/AUS/2016	
MH111063	MH111063.1	C149/CHW/AUS/2017	
MH111064	MH111064.1	C150/CHW/AUS/2017	
MH111065	MH111065.1	C157/CHW/AUS/2017	
MH111066	MH111066.1	C162/CHW/AUS/2016	
MH144593	MH144593.1	MH144593	
MH152387	MH152387.1	CA10-2-Amur-Rus-2013	
MH152388	MH152388.1	CA10-3-Amur-Rus-2013	
